worker_tests,worker_tests,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,machine_tests,corr,select_conf,baseround_items,total_items,expert_cost,theta,filters_num
5,5,10,0.18448000000000003,0.12550127330031358,0.0,0.0,Machines-Ensemble,99.84573442561779,0.24378786051671675,66.02351994373701,14.330493631554107,94.8346092661839,3.19319468635793,50.0,0.0,0.95,20,1000,20,0.3,1
5,5,10,0.064,0.04063003814913296,2.3016400000000004,0.5150186311193024,Hybrid-Ensemble,98.15279733990481,1.3837320316760906,97.22473519496361,2.420467682483399,98.05942109299822,1.2262974611479973,50.0,0.0,0.95,20,1000,20,0.3,1
5,5,10,0.25311999999999996,0.1380936841423242,0.0,0.0,Machines-Ensemble,98.9046619365353,0.9731733286118566,61.17639263114106,15.175196596663708,92.92834712674028,3.5771830038083334,50.0,0.2,0.95,20,1000,20,0.3,1
5,5,10,0.08141999999999999,0.03950143794851018,2.4999400000000005,0.4393580958625891,Hybrid-Ensemble,97.77836959413317,1.4563945444979822,95.2656379416766,4.086195991693573,97.5217097655525,1.207874441688421,50.0,0.2,0.95,20,1000,20,0.3,1
5,5,10,0.34162,0.12877311675967154,0.0,0.0,Machines-Ensemble,97.44470475255962,1.5132590176816472,55.03108568294423,12.36857096796816,90.41865408168367,3.327564956667883,50.0,0.3,0.95,20,1000,20,0.3,1
5,5,10,0.10426,0.037869148392854046,2.88608,0.7223982790677177,Hybrid-Ensemble,97.55228820272755,1.4476743356420905,91.06310994226797,7.82748258450032,96.83333160314201,1.155613379778553,50.0,0.3,0.95,20,1000,20,0.3,1
5,5,10,0.46547999999999995,0.1712683555126282,0.0,0.0,Machines-Ensemble,93.85551047558648,4.18753462705977,55.03879637590407,15.203724488950828,87.14716494848716,4.318702986147515,50.0,0.5,0.95,20,1000,20,0.3,1
5,5,10,0.12422000000000001,0.04887465191691906,3.52366,1.194213307746987,Hybrid-Ensemble,98.00788703699746,1.3402159994972465,84.33662969294951,12.287654424485817,96.3481745766245,1.3736254155651486,50.0,0.5,0.95,20,1000,20,0.3,1
5,5,10,0.63874,0.2040762416353261,0.0,0.0,Machines-Ensemble,89.43077462364677,7.885762296685906,52.138752602589506,17.821364942729872,82.24763642101951,5.637961201119104,50.0,0.7,0.95,20,1000,20,0.3,1
5,5,10,0.14805999999999997,0.060886914850401146,3.91122,1.4724251599317364,Hybrid-Ensemble,97.69103289518621,1.443150408535533,81.90191704326878,14.894194032383716,95.62609885883928,1.714862071123237,50.0,0.7,0.95,20,1000,20,0.3,1
5,5,10,0.8259400000000001,0.36318955987197643,0.0,0.0,Machines-Ensemble,80.23088005888255,12.022523296033889,56.118277366843905,16.7914632703949,76.24180500234931,10.489860901257659,50.0,0.9,0.95,20,1000,20,0.3,1
5,5,10,0.1785,0.08125743042946904,4.58714,1.9297608039340004,Hybrid-Ensemble,97.99542419341022,1.511475573560424,75.93467158027403,18.055393885178418,94.82992565621095,2.226064324496051,50.0,0.9,0.95,20,1000,20,0.3,1
5,5,10,0.18549999999999997,0.11603296945265168,0.0,0.0,Machines-Ensemble,99.6936295461059,0.35833005335725493,66.0144183370613,14.420231908413797,94.72001859532253,3.0288650254628258,50.0,0.0,0.95,20,1000,20,0.3,2
5,5,10,0.10088000000000001,0.057037755916585636,2.7538999999999993,0.5754331325184534,Hybrid-Ensemble,97.16314962970067,2.129294169464581,94.79208814879387,5.75840568155106,96.8915690212527,1.8085054069615376,50.0,0.0,0.95,20,1000,20,0.3,2
5,5,10,0.27856000000000003,0.10358902644585478,0.0,0.0,Machines-Ensemble,97.13861767934753,1.5491843351720342,62.41188244619268,11.810595341586703,92.04322759165092,2.792181361480615,50.0,0.2,0.95,20,1000,20,0.3,2
5,5,10,0.11965999999999999,0.052741486516782975,3.0858999999999996,0.7841353008250552,Hybrid-Ensemble,97.01993978780689,1.7650123465015815,91.44631373467527,7.1036435877706765,96.39517554736466,1.5639173382971643,50.0,0.2,0.95,20,1000,20,0.3,2
5,5,10,0.33738,0.1315159138659653,0.0,0.0,Machines-Ensemble,95.08362980689631,3.3018790886859923,63.19065039148528,14.584567246252824,90.29074182977786,3.831481852008429,50.0,0.3,0.95,20,1000,20,0.3,2
5,5,10,0.12829999999999997,0.059739852694830106,3.22214,0.7933258349505579,Hybrid-Ensemble,96.84285775195838,2.0010142359316005,90.33366961589083,7.104862677972185,96.12401547574208,1.797955227053258,50.0,0.3,0.95,20,1000,20,0.3,2
5,5,10,0.5624600000000001,0.2066537403484389,0.0,0.0,Machines-Ensemble,87.36789537022221,7.363236565117614,61.47283342247919,14.024432063057436,83.43540379607904,5.867655560186886,50.0,0.5,0.95,20,1000,20,0.3,2
5,5,10,0.15861999999999998,0.05903080212905801,3.73642,0.6356767131176034,Hybrid-Ensemble,96.46389427778777,1.9987331489385805,84.51715974611977,6.2293437427115705,95.18109539357039,1.7340704676406404,50.0,0.5,0.95,20,1000,20,0.3,2
5,5,10,0.9189200000000001,0.33747070035782367,0.0,0.0,Machines-Ensemble,77.48337786088491,15.30588915713162,55.481212768599974,16.609840404873857,72.98764060209446,10.667567176931069,50.0,0.7,0.95,20,1000,20,0.3,2
5,5,10,0.19796000000000002,0.07288400647604383,4.508820000000001,1.4241787484722557,Hybrid-Ensemble,96.29832577674675,2.7357999976439302,79.12802470909087,12.733487134072258,94.10514549053148,2.1375003499002934,50.0,0.7,0.95,20,1000,20,0.3,2
5,5,10,1.12678,0.4942164825256236,0.0,0.0,Machines-Ensemble,68.31900293839595,18.4396163743443,59.972928737998046,18.164102850407062,66.1713681933426,15.540580390615183,50.0,0.9,0.95,20,1000,20,0.3,2
5,5,10,0.17976,0.09969685250799043,4.9448,1.9983921637156208,Hybrid-Ensemble,97.74878602837698,1.4868477348080098,75.34061490731307,13.353095488176105,94.73312728282843,2.7600712463067243,50.0,0.9,0.95,20,1000,20,0.3,2
5,5,10,0.12780000000000002,0.09544087174790473,0.0,0.0,Machines-Ensemble,99.54454455740499,0.5401175328495753,74.96708206891155,13.618134542850454,96.28699038677794,2.710866348896974,50.0,0.0,0.95,20,1000,20,0.3,3
5,5,10,0.12495999999999999,0.09205128135990286,3.10738,0.8618556002022612,Hybrid-Ensemble,96.74725267743581,3.1529277081233995,92.40498801399133,8.683497388238347,96.20910497160023,2.779545670491006,50.0,0.0,0.95,20,1000,20,0.3,3
5,5,10,0.28193999999999997,0.12898517899355724,0.0,0.0,Machines-Ensemble,95.63206937809223,2.4620505174211393,68.39376808988152,13.881206999526452,91.76980117231811,3.5030360728517755,50.0,0.2,0.95,20,1000,20,0.3,3
5,5,10,0.15756000000000003,0.08006251557376898,3.2540399999999994,0.42290135776561416,Hybrid-Ensemble,95.47270196392526,2.941859596051493,92.29128927052273,3.5994423993002105,95.14738882890845,2.5689182811859657,50.0,0.2,0.95,20,1000,20,0.3,3
5,5,10,0.37720000000000004,0.1413912302796747,0.0,0.0,Machines-Ensemble,93.40895063185567,3.4858916511490605,64.80951591382372,15.4735592614362,89.1353571160832,3.9095822944542156,50.0,0.3,0.95,20,1000,20,0.3,3
5,5,10,0.15028000000000002,0.0747358120314485,3.5273399999999997,0.6000817814264986,Hybrid-Ensemble,96.16470815730047,2.6156444977008877,89.20959087199547,5.310668875431409,95.44540239381298,2.3296738035084457,50.0,0.3,0.95,20,1000,20,0.3,3
5,5,10,0.7374600000000001,0.29125289423454664,0.0,0.0,Machines-Ensemble,81.00493400497881,10.422318969999111,63.9467595283767,15.753230131912803,78.36512015633431,8.775162723079895,50.0,0.5,0.95,20,1000,20,0.3,3
5,5,10,0.20259999999999997,0.09041371577365903,4.5118,1.2701877656472687,Hybrid-Ensemble,95.88469255782788,3.013879897274534,80.28972117055349,9.362264376019287,94.02290779646972,2.6643161479606823,50.0,0.5,0.95,20,1000,20,0.3,3
5,5,10,1.23416,0.4549889827237578,0.0,0.0,Machines-Ensemble,64.04455071502097,17.453317618240042,60.488867366008364,17.990305614460897,62.53573273960887,14.54065350085532,50.0,0.7,0.95,20,1000,20,0.3,3
5,5,10,0.22178,0.07264359297281489,5.217580000000001,1.3693759467728357,Hybrid-Ensemble,96.11692589045813,2.3875824352439676,74.58867540374084,10.676244322659107,93.42380596350151,2.1625926593677898,50.0,0.7,0.95,20,1000,20,0.3,3
5,5,10,1.4619199999999999,0.5727363735611699,0.0,0.0,Machines-Ensemble,56.96325101361857,22.705188624395635,59.41745811883912,16.973080585755433,55.416175037791525,18.499981613048867,50.0,0.9,0.95,20,1000,20,0.3,3
5,5,10,0.21495999999999998,0.07470367059254854,5.2363,1.3714167455591315,Hybrid-Ensemble,96.20808535824278,2.494472774616571,76.19976671841039,11.475283230126577,93.69815999207152,2.1413699439333764,50.0,0.9,0.95,20,1000,20,0.3,3
5,5,10,0.15518,0.11648393709005546,0.0,0.0,Machines-Ensemble,98.85871368618754,1.089197950445344,73.78520652389176,13.520853141379883,95.52058207866068,3.200622086966008,50.0,0.0,0.95,20,1000,20,0.3,4
5,5,10,0.13284,0.10718793962008971,3.3330199999999994,1.41842994173135,Hybrid-Ensemble,96.84590672277338,3.2098328382590946,90.80344479183424,10.324744837089826,96.04009514664729,3.1137113307403506,50.0,0.0,0.95,20,1000,20,0.3,4
5,5,10,0.29422,0.1297245219686702,0.0,0.0,Machines-Ensemble,93.96782192764574,3.2998751156549075,72.79867989693709,11.357866807692606,91.32136482908535,3.7695484242174797,50.0,0.2,0.95,20,1000,20,0.3,4
5,5,10,0.15506000000000003,0.08458307395690937,3.5884599999999995,1.017175367574343,Hybrid-Ensemble,96.29892875206036,2.962661765457985,87.91911098302258,9.667939204108244,95.3032611412962,2.616479512016409,50.0,0.2,0.95,20,1000,20,0.3,4
5,5,10,0.52062,0.2036953499714709,0.0,0.0,Machines-Ensemble,87.57099327430986,5.737906300383316,65.86995262403892,12.927494146347142,84.66827901274706,5.786317373421243,50.0,0.3,0.95,20,1000,20,0.3,4
5,5,10,0.2112,0.08361602717182871,4.19136,0.9293844362802726,Hybrid-Ensemble,94.72033703110316,3.132054610738135,84.91278155332371,8.663795297414707,93.59666415256079,2.5961186011231074,50.0,0.3,0.95,20,1000,20,0.3,4
5,5,10,0.90878,0.41115122716586894,0.0,0.0,Machines-Ensemble,74.71850760413278,15.525638801052255,64.60173960839705,16.275440611717226,72.63216398666631,12.825001379030171,50.0,0.5,0.95,20,1000,20,0.3,4
5,5,10,0.21902000000000002,0.1031066418811126,4.465039999999999,0.9181063328395028,Hybrid-Ensemble,94.6860244696523,3.7095008003283807,83.11472423094204,7.753660982060657,93.38738384066671,3.198361060806204,50.0,0.5,0.95,20,1000,20,0.3,4
5,5,10,1.3476,0.5836722367904782,0.0,0.0,Machines-Ensemble,60.38378462941002,22.58494195763844,59.67595738304528,18.446441098032,58.67045511631244,19.01796141639797,50.0,0.7,0.95,20,1000,20,0.3,4
5,5,10,0.30154,0.14435154450160897,5.325219999999999,1.457424348499777,Hybrid-Ensemble,93.17151299600769,5.079432374824251,75.98352052619204,11.545782653533788,91.00608797456401,4.3489388354887275,50.0,0.7,0.95,20,1000,20,0.3,4
5,5,10,1.84942,0.5965373446817894,0.0,0.0,Machines-Ensemble,40.063143536919966,20.364847321444003,62.83338091948568,17.70491660795118,40.963105586431055,19.549144364824173,50.0,0.9,0.95,20,1000,20,0.3,4
5,5,10,0.27028,0.13107006370640095,5.77644,1.596769628468678,Hybrid-Ensemble,94.58943460891632,4.030279902640522,73.39873870154643,10.57109293654529,91.94505407041488,3.956205684875873,50.0,0.9,0.95,20,1000,20,0.3,4
5,5,10,0.14270000000000002,0.11048244204397366,0.0,0.0,Machines-Ensemble,98.61796811481783,1.5153341153566968,76.55693783916088,11.578034166362508,95.88372618923653,3.0379008730072106,50.0,0.0,0.95,20,1000,20,0.3,5
5,5,10,0.13971999999999998,0.10618663569395162,3.73502,1.439053890443301,Hybrid-Ensemble,97.16652078186253,3.2673435328067297,86.68205798034138,11.07448180221856,95.86560716803308,3.0811288594980613,50.0,0.0,0.95,20,1000,20,0.3,5
5,5,10,0.37285999999999997,0.16581652631749344,0.0,0.0,Machines-Ensemble,91.94626425294899,4.436226284864551,70.48678190215448,11.654300771707279,89.23826664884828,4.64240738583541,50.0,0.2,0.95,20,1000,20,0.3,5
5,5,10,0.19397999999999999,0.09387534074505402,4.234279999999999,1.1219593226137925,Hybrid-Ensemble,95.71777966206739,3.4994509235954796,83.74552478763748,10.219420516345282,94.26661363248385,2.8354017314381594,50.0,0.2,0.95,20,1000,20,0.3,5
5,5,10,0.59116,0.2012452593230459,0.0,0.0,Machines-Ensemble,84.43026786935225,6.138689336712128,70.16633070816698,10.776659792490253,82.69700361246596,5.913711745568674,50.0,0.3,0.95,20,1000,20,0.3,5
5,5,10,0.23759999999999998,0.11489490850337973,4.56674,0.8637571142398771,Hybrid-Ensemble,94.34970822734425,4.2910202444073295,82.40972080644046,8.641802802492803,92.95493955563735,3.5116062590689383,50.0,0.3,0.95,20,1000,20,0.3,5
5,5,10,1.10142,0.4582023609716563,0.0,0.0,Machines-Ensemble,67.60549295140855,17.421859327682814,65.12125941244454,14.658515248553195,66.3843430639426,14.62863834206302,50.0,0.5,0.95,20,1000,20,0.3,5
5,5,10,0.21824000000000002,0.08051100794301361,5.14796,1.160130543688942,Hybrid-Ensemble,95.64046898358569,2.790225441204554,77.63333083683123,9.399243460408043,93.4858075390945,2.4715585305678025,50.0,0.5,0.95,20,1000,20,0.3,5
5,5,10,1.3476,0.6548125533311041,0.0,0.0,Machines-Ensemble,59.06537421586778,25.922167116629346,63.58200832815533,19.1076526641291,57.601907825757806,22.353720571071356,50.0,0.7,0.95,20,1000,20,0.3,5
5,5,10,0.28058,0.14097674843746397,5.261799999999999,1.2863457078095297,Hybrid-Ensemble,93.51089511437075,4.530031695940576,77.01236542129507,9.36219153461689,91.57144025524168,4.2348509666160385,50.0,0.7,0.95,20,1000,20,0.3,5
5,5,10,1.7292399999999999,0.7007339169756235,0.0,0.0,Machines-Ensemble,46.160323044825276,26.761239237966503,65.67993239107236,18.601100860708815,45.663365650301365,23.64390704069759,50.0,0.9,0.95,20,1000,20,0.3,5
5,5,10,0.33441999999999994,0.18740940104487824,5.665659999999999,1.619809181477868,Hybrid-Ensemble,92.34876934648702,5.809823731513233,74.25608488919157,10.958708335100896,90.12498336731828,5.56529137284903,50.0,0.9,0.95,20,1000,20,0.3,5
5,5,10,0.09336,0.044577016499537075,3.02062,0.4823505733385211,Crowd-Ensemble,97.02893219595154,1.514867811124683,98.72994566485687,2.2919325151161543,97.17286978625785,1.3447706721890647,0.0,0.0,0.95,20,1000,20,0.3,1
5,5,10,0.12532,0.06773106820359473,4.65874,0.7782026936473555,Crowd-Ensemble,96.1957854138765,2.232258338958053,96.60775916748517,7.474957240189219,96.13654788902619,2.067123100133445,0.0,0.0,0.95,20,1000,20,0.3,2
5,5,10,0.19914,0.09981503093221981,6.14948,1.2750341680127637,Crowd-Ensemble,94.7739707529668,3.851980455721234,90.73244093828438,13.365684111011229,94.06517854561103,3.0074659998077027,0.0,0.0,0.95,20,1000,20,0.3,3
5,5,10,0.22765999999999997,0.0963808300441535,7.165080000000001,0.6843705966798983,Crowd-Ensemble,93.26082685118658,3.6766744742990163,91.97245885378048,9.279066115017939,92.99711949694512,3.0300448874311687,0.0,0.0,0.95,20,1000,20,0.3,4
5,5,10,0.2671,0.09923048926615245,8.628,1.0920974132374823,Crowd-Ensemble,94.23738454851016,4.248378882728601,78.35675375247865,14.898216432957375,92.00599408571262,3.025272627954543,0.0,0.0,0.95,20,1000,20,0.3,5
