worker_tests,worker_tests,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,machine_tests,corr,select_conf,baseround_items,total_items,expert_cost,theta,filters_num,machine_acc_range,label
5,5,10,0.12576,0.03713519085719097,5.713919999999999,0.32358317879642634,Crowd-Ensemble,97.5259882015238,1.8181869799277262,83.7480427498332,8.69455778008533,95.96166778801381,1.181295226488756,0.0,0.0,0.95,20,1000,20,0.3,4,,High Select/High Acc
5,5,10,0.60488,0.17392994451790064,0.0,0.0,Machines-Ensemble,92.73542867098885,5.117206316210357,40.53926153596271,7.833939817237235,82.57094602621257,4.926696616669167,20.0,0.0,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",High Select/High Acc
5,5,10,0.1276,0.057333759688337205,4.063820000000001,0.6938623981741625,Hybrid-Ensemble,97.29118777296236,2.375276649736324,84.81369528140644,8.094443015677967,95.8988859497644,1.9327767544772916,20.0,0.0,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",High Select/High Acc
5,5,10,0.7603,0.12385204883246785,0.0,0.0,Machines-Ensemble,88.47264504688057,6.485404694589795,37.0554837684791,6.099695770331027,78.04886634405672,3.9889893558991227,20.0,0.2,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",High Select/High Acc
5,5,10,0.13772,0.04467260458043609,4.4177800000000005,0.4951374471800734,Hybrid-Ensemble,97.10350133088112,2.1092126456943987,83.33082645709011,7.534054379521812,95.55960084041473,1.5162445469775703,20.0,0.2,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",High Select/High Acc
5,5,10,0.79628,0.15202697655350514,0.0,0.0,Machines-Ensemble,89.34738526113618,9.333520172204784,34.823524028515706,5.545958517780495,77.44599933856108,5.176062121367866,20.0,0.3,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",High Select/High Acc
5,5,10,0.14602,0.04325389693426478,4.63256,0.5523071304989643,Hybrid-Ensemble,96.96631593391119,2.1728356475792032,82.74024073977924,8.417553421090876,95.33934520618426,1.4780911362812854,20.0,0.3,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",High Select/High Acc
5,5,10,0.80254,0.1618418005337311,0.0,0.0,Machines-Ensemble,90.21146483125172,9.196007505345172,33.26024447646899,4.649937499746036,77.3969678207581,5.1417795560572825,20.0,0.5,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",High Select/High Acc
5,5,10,0.12365999999999999,0.04595807219629648,4.64696,0.5794270604657673,Hybrid-Ensemble,97.9643494436769,1.9370088476951155,81.22038743817939,7.527158330818452,96.05392842833484,1.4729572519152954,20.0,0.5,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",High Select/High Acc
5,5,10,0.81478,0.15247888903058024,0.0,0.0,Machines-Ensemble,90.55718038584455,10.104516941436827,32.49398200774168,4.933044201044812,77.1135753522654,5.450252692618002,20.0,0.7,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",High Select/High Acc
5,5,10,0.12134,0.05767654982746454,4.599780000000001,0.6727623737992486,Hybrid-Ensemble,97.7630383719008,2.010605150858207,83.35576878642561,8.569292303961904,96.11388446535834,1.851082739497294,20.0,0.7,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",High Select/High Acc
5,5,10,0.7810799999999999,0.11692952407326387,0.0,0.0,Machines-Ensemble,93.35430980993368,8.391465824737585,31.212982694009714,4.559122133137599,78.38668227262764,4.061160542128821,20.0,0.9,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",High Select/High Acc
5,5,10,0.13844,0.056285045971376804,4.762619999999999,0.6118165702234617,Hybrid-Ensemble,97.31817418198281,2.593995274001067,82.18822375753882,9.210009169371547,95.55118582009071,1.886793316888741,20.0,0.9,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",High Select/High Acc
5,5,10,0.56342,0.08094716548465425,12.98388,0.8895542847966054,Crowd-Ensemble,92.81028440639426,5.155244200025825,42.78931021690425,6.584066778543215,83.42493290649996,2.7710209861946655,0.0,0.0,0.95,20,1000,20,0.3,4,,High Select/Low Acc
5,5,10,0.55808,0.1613316881458816,0.0,0.0,Machines-Ensemble,92.16066842194263,5.453675493607853,44.2047519040426,7.62399009682002,83.4989843076379,4.954124923153467,20.0,0.0,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",High Select/Low Acc
5,5,10,0.4898200000000001,0.08845330745653325,10.970180000000001,1.9567832960243707,Hybrid-Ensemble,96.71465995640646,3.3486398449838943,42.35108078665307,9.719819186882226,85.85620388144304,2.3340220505179268,20.0,0.0,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",High Select/Low Acc
5,5,10,0.7247,0.1429205723470208,0.0,0.0,Machines-Ensemble,90.57041029094101,7.129787277724183,36.78792551341396,6.2137553120112745,79.35923049751034,4.349817532930388,20.0,0.2,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",High Select/Low Acc
5,5,10,0.5359799999999999,0.10994516633304077,11.62502,1.5835134036691954,Hybrid-Ensemble,95.81889712290307,4.975170552838541,40.5626115446542,7.1999453385085905,84.68295611836562,3.026508706517701,20.0,0.2,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",High Select/Low Acc
5,5,10,0.81242,0.1624603446998682,0.0,0.0,Machines-Ensemble,87.67737897682147,10.077665903859186,34.924801589547194,5.909553141573191,76.2611046752583,5.814371863114741,20.0,0.3,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",High Select/Low Acc
5,5,10,0.5307999999999999,0.07629338110216377,11.805779999999997,1.5174827220103695,Hybrid-Ensemble,95.5586671310788,3.6164106809546537,40.10380461758794,6.593607277140768,84.4329729909606,2.252504498337952,20.0,0.3,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",High Select/Low Acc
5,5,10,0.7668199999999998,0.10979229298999088,0.0,0.0,Machines-Ensemble,93.49229389152715,7.652382204401124,31.442576232626184,3.927634167517237,78.76591791994566,3.928778084896852,20.0,0.5,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",High Select/Low Acc
5,5,10,0.54432,0.06759776327660554,12.161979999999998,1.1054456565566668,Hybrid-Ensemble,95.6748765088343,3.5426614506431857,39.37300410206922,5.018055241577438,84.35232083526455,1.8471791550792973,20.0,0.5,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",High Select/Low Acc
5,5,10,0.8068,0.1793930879381923,0.0,0.0,Machines-Ensemble,92.29323641332778,11.638654930046833,31.061874571450748,4.831418619773425,77.32873742595459,6.655220167541047,20.0,0.7,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",High Select/Low Acc
5,5,10,0.56154,0.07698966424137722,12.01644,1.2827146706886923,Hybrid-Ensemble,94.72736585455908,4.331751002299204,39.58047945688224,5.763490990670426,83.64354099274044,2.3721035587347785,20.0,0.7,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",High Select/Low Acc
5,5,10,0.7685600000000001,0.11307752384979076,0.0,0.0,Machines-Ensemble,93.8164661695414,7.940855234136509,31.095702290328745,4.2338361237398585,78.71166671874605,4.047368136429976,20.0,0.9,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",High Select/Low Acc
5,5,10,0.53896,0.07535302515493324,11.94578,1.4530121993982017,Hybrid-Ensemble,95.73754583457944,4.0403358195689805,39.89044198368084,6.470534857576766,84.43836466244896,2.1729031886502788,20.0,0.9,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",High Select/Low Acc
5,5,10,0.2212,0.11642061673088663,7.658480000000001,0.936244930346755,Crowd-Ensemble,96.15918216522283,3.136371791446924,86.1256328587774,12.359353255064741,94.87678348079552,2.662598001377273,0.0,0.0,0.95,20,1000,20,0.3,4,,Low Select/High Acc
5,5,10,0.61822,0.19694306690005617,0.0,0.0,Machines-Ensemble,91.99416239201601,4.752946795074539,54.18925692182899,8.587779690738326,86.21586668280986,4.477493914643231,20.0,0.0,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/High Acc
5,5,10,0.20202,0.0778381628765736,5.52976,1.3818358304805964,Hybrid-Ensemble,97.43323183092097,2.1694259341743756,79.9882742672144,11.232016973754238,95.29635911652494,1.8308994783130657,20.0,0.0,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/High Acc
5,5,10,0.7759199999999998,0.18753451309025762,0.0,0.0,Machines-Ensemble,88.87072163760881,6.628469081553627,49.362654291444805,6.648967481151289,82.48417069675503,4.746144426808881,20.0,0.2,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/High Acc
5,5,10,0.2371,0.08026711655466391,5.5578199999999995,0.9988912991912584,Hybrid-Ensemble,96.11833857285262,2.828272522394328,81.3957336165265,9.623334011466937,94.36616252693739,1.9495086978986391,20.0,0.2,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/High Acc
5,5,10,0.8129000000000002,0.21769209907573586,0.0,0.0,Machines-Ensemble,89.51102036008773,8.065918959935303,46.9744028459538,6.820796205031156,82.17506307401705,5.157141654612077,20.0,0.3,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/High Acc
5,5,10,0.25584,0.08609537966697167,5.80738,1.292600694568899,Hybrid-Ensemble,95.86611759016347,2.9071211572588487,81.44603969680276,11.221255195366215,94.05964457753717,1.9325124993478315,20.0,0.3,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/High Acc
5,5,10,0.8896200000000001,0.3631185420768265,0.0,0.0,Machines-Ensemble,88.38983532949824,12.907073821256573,44.12720892616202,5.9170941263122785,80.24395992534815,9.042854800622177,20.0,0.5,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/High Acc
5,5,10,0.25506000000000006,0.07600273942431286,6.01192,1.0814613047169095,Hybrid-Ensemble,95.68695298481387,2.733851289957428,81.88478387524118,11.221227082427031,93.98035510710147,1.8772662420003552,20.0,0.5,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/High Acc
5,5,10,0.7257600000000001,0.17755816624419163,0.0,0.0,Machines-Ensemble,94.68427466625516,7.0962461837334185,41.40616284438621,3.7709458051636173,84.47404620762673,4.5189563543278055,20.0,0.7,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/High Acc
5,5,10,0.27834,0.09222594212042509,6.1237200000000005,1.2368770357638628,Hybrid-Ensemble,95.1243473175254,3.1678871957960384,82.72897051016852,12.694505477417655,93.51500758947999,2.136133791993594,20.0,0.7,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/High Acc
5,5,10,0.7333200000000001,0.24571857398251357,0.0,0.0,Machines-Ensemble,94.13722697718775,9.439788213045272,41.96206416838297,4.542823405341024,84.11949569217266,6.428485387044873,20.0,0.9,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/High Acc
5,5,10,0.28230000000000005,0.0991978326376136,6.4569399999999995,1.7865691860098787,Hybrid-Ensemble,95.56105744086804,3.0366757822072774,80.44208124772722,14.867952668569242,93.44792819050917,2.165265175157017,20.0,0.9,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/High Acc
5,5,10,0.29932000000000003,0.13526484243882445,7.9221,1.313408561720229,Crowd-Ensemble,94.9240691553243,3.4707902612297166,80.18232648743678,12.510859269332094,93.00112604794556,3.0735136824816083,0.0,0.0,0.95,20,1000,20,0.3,4,,Low Select/Low Acc
5,5,10,0.61674,0.16992855086771028,0.0,0.0,Machines-Ensemble,92.25583499094566,4.44612443202642,52.78338649826574,7.282070839819674,86.12789401522042,3.81861118219855,20.0,0.0,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/Low Acc
5,5,10,0.2879,0.10585655388307329,5.867280000000001,1.7220101281932112,Hybrid-Ensemble,95.91309176960085,2.9238918558882707,75.38798765049418,10.752344270397654,93.26592814219558,2.3913186131598336,20.0,0.0,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/Low Acc
5,5,10,0.7918,0.18616089814996062,0.0,0.0,Machines-Ensemble,88.76365809992309,6.222310898002795,49.42879284496585,6.7747958307155995,82.41447977615333,4.282534749371121,20.0,0.2,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/Low Acc
5,5,10,0.29413999999999996,0.07593892545987202,6.1500200000000005,1.1952209584842464,Hybrid-Ensemble,95.8292816256737,2.4193892305443474,74.47544837920421,9.48505603984601,93.16711560151282,1.8082951723740117,20.0,0.2,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/Low Acc
5,5,10,0.84128,0.20497863693565727,0.0,0.0,Machines-Ensemble,88.50530631909001,7.724764509158544,46.56082273195492,5.702720366816562,81.37369695335882,4.969106755669537,20.0,0.3,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/Low Acc
5,5,10,0.32072,0.08602837671373324,6.7203599999999994,1.5531769217960973,Hybrid-Ensemble,95.87585204923225,3.0222176353986563,71.59190437608517,11.860717599693585,92.60711629132149,1.933363977403317,20.0,0.3,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/Low Acc
5,5,10,0.81826,0.286008797766782,0.0,0.0,Machines-Ensemble,90.89023783907655,10.713447713651039,43.11841542049836,5.2325912698006025,81.97974905587397,7.1871782761172875,20.0,0.5,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/Low Acc
5,5,10,0.29875999999999997,0.07760091752034895,6.535220000000002,1.0584866610401853,Hybrid-Ensemble,95.97389582780025,2.8939951057520648,72.9484095681791,9.701315418005668,93.04210353909028,1.8464821197524972,20.0,0.5,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/Low Acc
5,5,10,0.75546,0.17591409380717624,0.0,0.0,Machines-Ensemble,93.33795853063168,7.201887326976447,42.211826901236265,4.41431200419134,83.71464865289738,4.258695618433094,20.0,0.7,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/Low Acc
5,5,10,0.308,0.08767690687974798,6.4519,1.2037927437893952,Hybrid-Ensemble,95.70225155158187,3.049701397223309,73.51847960424648,10.204503816549442,92.87366250909298,2.011679199708521,20.0,0.7,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/Low Acc
5,5,10,0.7935000000000001,0.23426320667147027,0.0,0.0,Machines-Ensemble,92.35570625316795,8.882833181271403,42.19287898617902,5.335938678569998,82.8182560620494,5.456190797284651,20.0,0.9,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/Low Acc
5,5,10,0.3319,0.11820088832153504,6.872320000000001,1.667376075635008,Hybrid-Ensemble,95.62620358836246,3.0664976084399043,71.05567336373159,12.010113641358851,92.32871733770226,2.7272933295665087,20.0,0.9,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/Low Acc
