Nt,J,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,tests_num,corr,select_conf,baseline_items,total_items,expert_cost
5,3,10,0.39965999999999996,0.07207096780257637,11.884800000000002,1.4098684335781124,Crowd-Ensemble,98.32616243569139,1.2218011968561857,47.671366094312745,8.89567781299859,8935.284756356545,189.75260396833102,50,0.0,0.95,20,1000,20
5,3,10,0.04488,0.04155509114416668,2.7576799999999997,0.49140909393294707,Hybrid-Ensemble,98.77288266201549,1.2175777095184377,97.94170813775587,1.3368212968037418,9869.57995299705,119.15722623366608,50,0.0,0.95,20,1000,20
5,3,10,0.09523999999999999,0.0710136775558061,3.3895599999999995,0.563931739131608,Hybrid-Ensemble,97.56624537449501,2.2168615339518416,93.7944419311213,2.3712699191625464,9720.540598177473,212.20750322501942,50,0.2,0.95,20,1000,20
5,3,10,0.08126,0.03502388327984206,3.6299,0.48621991937805265,Hybrid-Ensemble,98.39644339901696,0.9700017201919215,90.69202924309994,2.8851781423934373,9763.501491717232,103.65210266326618,50,0.3,0.95,20,1000,20
5,3,10,0.1202,0.04475488800120049,4.54566,0.9916737288039853,Hybrid-Ensemble,98.00401845674807,1.0446410571162648,83.7989698681314,5.730272278109307,9647.642884516583,128.4303941077007,50,0.5,0.95,20,1000,20
5,3,10,0.16868,0.0792700296455098,6.13044,1.3999790592719594,Hybrid-Ensemble,97.71776393483131,1.8582177523624912,75.83398446848798,7.3164519031430455,9514.288840764579,227.5723658418833,50,0.7,0.95,20,1000,20
5,3,10,0.18327999999999997,0.08270236755982262,6.57654,1.6068021061723812,Hybrid-Ensemble,97.27075889142935,2.1795649834740027,76.65410560959862,10.511245043451211,9475.959914124627,234.78986900379365,50,0.9,0.95,20,1000,20
5,3,10,0.14322000000000001,0.10581933471724343,0,0,Machines-Ensemble,99.42923082492479,0.5478412052188566,73.75703043912718,12.748245999998623,9604.13120478457,269.5581180766521,50,0.0,0.95,20,1000,20
5,3,10,0.34814,0.14432283395221976,0,0,Machines-Ensemble,93.76996875076804,1.9638226964286436,67.66121130544605,12.46382848088708,9025.805289444741,373.6919002192932,50,0.2,0.95,20,1000,20
5,3,10,0.48700000000000004,0.1667200047984644,0,0,Machines-Ensemble,87.90946160738517,3.9801691543558064,72.33947130653036,9.268954814957098,8612.726721601979,446.0474603867423,50,0.3,0.95,20,1000,20
5,3,10,0.9692999999999999,0.3282911055755242,0,0,Machines-Ensemble,71.15575410981444,9.762743899496401,71.067752496227,10.656603154308248,7109.702201501125,967.7919290868223,50,0.5,0.95,20,1000,20
5,3,10,1.61368,0.4763691190662972,0,0,Machines-Ensemble,50.6884708561881,16.094515269557807,63.58462489339012,13.59662235687882,5119.119025817532,1483.531827878112,50,0.7,0.95,20,1000,20
5,3,10,1.6860399999999998,0.5867316579152688,0,0,Machines-Ensemble,49.260199807546726,24.05861262588326,63.68014778850768,16.560076475773236,4854.558793342481,2012.396171900252,50,0.9,0.95,20,1000,20